year,state,chamber,district,election,name,party,vote,pct,incumbent,write_in,ballot_modifier
2000,VI,H,00,primary,"Nekitt, Bevelis",,0,0.0,FALSE,TRUE,
2000,VI,H,00,primary,None,,0,0.0,FALSE,TRUE,
2000,VI,H,00,primary,None of the Above,,0,0.0,FALSE,TRUE,
2000,DC,H,00,primary,"Norton, Eleanor Holmes",Democratic,19372,97.14,FALSE,FALSE,
2000,PR,H,00,primary,"Orellana, Manuel Rodriguez",Puerto Rican Independence,0,0.0,FALSE,FALSE,
2000,AS,H,00,primary,"Pene, Seigafolava R.",Independent,256,2.15,FALSE,FALSE,independent
2000,ND,H,00,primary,"Pomeroy, Earl",Democratic-Nonpartisan League,35701,100.0,FALSE,FALSE,
2000,WY,H,00,primary,"Raymond, Victor",Natural Law,0,0.0,FALSE,FALSE,
2000,VT,H,00,primary,"Rogers, Jack",Vermont Grassroots,0,0.0,FALSE,FALSE,
2000,VT,H,00,primary,"Sanders, Bernie",Independent,0,0.0,FALSE,FALSE,independent
2000,VT,H,00,primary,"Sanders, Bernie",Democratic,1337,5.92,FALSE,TRUE,
2000,VT,H,00,primary,"Sanders, Bernie",Republican,895,1.74,FALSE,TRUE,
2000,AK,H,00,primary,Scattered,,0,0.0,FALSE,TRUE,
2000,DC,H,00,primary,Scattered,,0,0.0,FALSE,TRUE,
2000,DC,H,00,primary,Scattered,Democratic,570,2.86,FALSE,TRUE,
2000,DC,H,00,primary,Scattered,D.C. Statehood Green,40,100.0,FALSE,TRUE,
2000,DC,H,00,primary,Scattered,Republican,307,100.0,FALSE,TRUE,
2000,DC,H,00,primary,Scattered,UM,13,100.0,FALSE,TRUE,
2000,GU,H,00,primary,Scattered,Democratic,0,0.0,FALSE,TRUE,
2000,GU,H,00,primary,Scattered,Republican,0,0.0,FALSE,TRUE,
2000,PR,H,00,primary,Scattered,,0,0.0,FALSE,TRUE,
2000,VT,H,00,primary,Scattered,,0,0.0,FALSE,TRUE,
2000,VT,H,00,primary,Scattered,Democratic,710,3.14,FALSE,TRUE,
2000,VT,H,00,primary,Scattered,Republican,2981,5.79,FALSE,TRUE,
2000,ND,H,00,primary,"Shelver, Jan",Independent,0,0.0,FALSE,FALSE,independent
2000,VT,H,00,primary,"Skrill, Stewart",Independent,0,0.0,FALSE,FALSE,independent
2000,WY,H,00,primary,"Stock, Lewis",Libertarian,0,0.0,FALSE,FALSE,
2000,VI,H,00,primary,"Thomas, Austin",,0,0.0,FALSE,TRUE,
2000,VI,H,00,primary,"Tobias, St. Clair",,0,0.0,FALSE,TRUE,
2000,VI,H,00,primary,"Top, Sam",,0,0.0,FALSE,TRUE,
2000,VI,H,00,primary,"Topp, Sam",,0,0.0,FALSE,TRUE,
2000,GU,H,00,primary,"Underwood, Robert A.",Democratic,,100.0,FALSE,FALSE,
2000,VI,H,00,primary,"Vialet, Fred Jr.",,0,0.0,FALSE,TRUE,
2000,PR,H,00,primary,"Vila, Anibal S. Acevedo",Popular Democratic,284905,56.88,FALSE,FALSE,
2000,AK,H,00,primary,"Vondersaar, Frank",Democratic,4095,11.38,FALSE,FALSE,
2000,WY,H,00,primary,"Wenino, Dino",Republican,5515,7.81,FALSE,FALSE,
2000,VI,H,00,primary,"Wollcott, Phyllis",,0,0.0,FALSE,TRUE,
2000,DC,H,00,primary,"Wolterbeek, Edward Henry",Republican,0,0.0,FALSE,FALSE,
2000,PR,H,00,primary,Write-In,Popular Democratic,160,0.03,FALSE,FALSE,
2000,AK,H,00,primary,"Young, Anna C.",Green,7198,20.0,FALSE,FALSE,
2000,AK,H,00,primary,"Young, Don E.",Republican,33792,100.0,FALSE,FALSE,
2000,MA,H,01,general,"Abair, Peter J.",Republican,73580,29.64,FALSE,FALSE,
2000,HI,H,01,general,"Abercrombie, Neil",Democratic,108517,69.03,FALSE,FALSE,
2000,ME,H,01,general,"Allen, Thomas H.",Democratic,202823,59.81,FALSE,FALSE,
2000,ME,H,01,general,"Amero, Jane A.",Republican,123915,36.54,FALSE,FALSE,
2000,UT,H,01,general,"Anderson, Hartley D.",Independent American,5131,1.96,FALSE,FALSE,
2000,NJ,H,01,general,"Andrews, Robert E.",Democratic,167327,76.19,FALSE,FALSE,
2000,LA,H,01,general,"Armato, Michael A.",Democratic,29935,12.59,FALSE,FALSE,
2000,CT,H,01,general,"Backlund, Bob",Republican,59331,28.08,FALSE,FALSE,
2000,SC,H,01,general,"Batchelder, Bob",Natural Law,1110,0.0,FALSE,FALSE,
2000,SC,H,01,general,"Batchelder, Bob",Reform,2067,0.0,FALSE,FALSE,
2000,NH,H,01,general,"Belforti, Dan",Libertarian,5713,2.0,FALSE,FALSE,
2000,NE,H,01,general,"Bereuter, Doug",Republican,155485,66.25,FALSE,FALSE,
2000,NV,H,01,general,"Berkley, Shelley",Democratic,118469,51.68,FALSE,FALSE,
2000,AR,H,01,general,"Berry,  Marion",Democratic,120266,60.15,FALSE,FALSE,
2000,VA,H,01,general,"Billings, Josh",Independent,4082,1.55,FALSE,FALSE,independent
2000,MO,H,01,general,"Billingsly, Z. Dwight",Republican,42730,21.54,FALSE,FALSE,
2000,FL,H,01,general,"Blue, Dave",,187,0.08,FALSE,TRUE,
2000,MD,H,01,general,"Bozman, Bennett",Democratic,91022,35.46,FALSE,FALSE,
2000,SC,H,01,general,"Brack, Andy",Democratic,82622,35.7,FALSE,FALSE,
2000,PA,H,01,general,"Brady, Robert A.",Democratic,149621,88.25,FALSE,FALSE,
2000,SC,H,01,general,"Brown, Henry",Republican,139597,60.32,FALSE,FALSE,
2000,AZ,H,01,general,"Burroughs, Jon",Libertarian,9227,4.01,FALSE,FALSE,
2000,RI,H,01,general,"Cabral, Stephen",Republican,61522,33.22,FALSE,FALSE,
2000,AL,H,01,general,"Callahan, H. L. ""Sonny""",Republican,151188,91.26,FALSE,FALSE,
2000,TX,H,01,general,"Carr, Ray",Libertarian,1779,0.84,FALSE,FALSE,
2000,DE,H,01,general,"Castle, Michael N.",Republican,211797,67.63,FALSE,FALSE,
2000,NJ,H,01,general,"Cathcart, Charlene",Republican,46455,21.15,FALSE,FALSE,
2000,OH,H,01,general,"Chabot, Steve",Republican,116768,52.97,FALSE,FALSE,
2000,CA,H,01,general,"Chase, Russel J. ""Jim""",Republican,66987,27.99,FALSE,FALSE,
2000,NH,H,01,general,"Clark, Martha Fuller",Democratic,128387,45.07,FALSE,FALSE,
2000,MO,H,01,general,"Clay, William Lacy",Democratic,149173,75.21,FALSE,FALSE,
2000,NC,H,01,general,"Clayton, Eva M.",Democratic,124171,65.64,FALSE,FALSE,
2000,OK,H,01,general,"Clem, Michael A.",Libertarian,2984,1.49,FALSE,FALSE,
2000,AL,H,01,general,"Coffee, Dick",Libertarian,14031,8.47,FALSE,FALSE,
2000,UT,H,01,general,"Collinwood, Kathleen McConkie",Democratic,71229,27.21,FALSE,FALSE,
2000,CO,H,01,general,"Combs, Richard",Libertarian,5852,2.83,FALSE,FALSE,
2000,MI,H,01,general,"Conway, Wendy",Natural Law,1839,0.63,FALSE,FALSE,
2000,FL,H,01,general,"Coutu, Mark S.",,376,0.16,FALSE,TRUE,
2000,OH,H,01,general,"Cranley, John",Democratic,98328,44.61,FALSE,FALSE,
2000,VA,H,01,general,"Davies, Lawrence A.",Democratic,97399,37.03,FALSE,FALSE,
2000,VA,H,01,general,"Davis, Jo Ann S.",Republican,151344,57.54,FALSE,FALSE,
2000,LA,H,01,general,"Deaton, Cary J.",Democratic,10982,4.62,FALSE,FALSE,
2000,CO,H,01,general,"DeGette, Diana",Democratic,141831,68.7,FALSE,FALSE,
2000,NC,H,01,general,"Delaney, Christopher Sean",Libertarian,2799,1.48,FALSE,FALSE,
2000,CA,H,01,general,"Elizondo, Pamela",Reform,3161,1.32,FALSE,FALSE,
2000,MT,H,01,general,"Ferren, Glen",,2,0.0,FALSE,TRUE,
2000,AZ,H,01,general,"Flake, Jeff",Republican,123289,53.61,FALSE,FALSE,
2000,NY,H,01,general,"Forbes, Michael P.",Working Families,6318,2.64,FALSE,FALSE,
2000,NJ,H,01,general,"Forchion, Edward",Legalize Marijuana,1959,0.89,FALSE,FALSE,independent
2000,UT,H,01,general,"Frandsen, Matthew D.",Natural Law,1703,0.65,FALSE,FALSE,
2000,MD,H,01,general,"Gilchrest, Wayne T.",Republican,165293,64.4,FALSE,FALSE,
2000,GA,H,01,general,"Griggs, Joyce Marie",Democratic,58776,30.86,FALSE,FALSE,
2000,MS,H,01,general,"Grist, Joe T. (Joey) Jr.",Democratic,59763,28.59,FALSE,FALSE,
2000,OH,H,01,general,"Groshoff, David A.",Libertarian,3399,1.54,FALSE,FALSE,
2000,MD,H,01,general,"Gross, David M.",,73,0.03,FALSE,TRUE,
2000,NY,H,01,general,"Grucci, Felix J. Jr.",Conservative,7569,3.16,FALSE,FALSE,
